Driver,TeamName,LapNumber,Compound,TyreLife,AirTemp,TrackTemp,LapTimeSeconds,Race,Year
TSU,AlphaTauri,2.0,SOFT,2.0,19.5,26.0,93.581,Bahrain,2022
GAS,AlphaTauri,2.0,SOFT,2.0,19.5,26.0,93.016,Bahrain,2022
RIC,McLaren,2.0,SOFT,2.0,19.4,26.0,93.603,Bahrain,2022
NOR,McLaren,2.0,SOFT,2.0,19.4,26.0,93.113,Bahrain,2022
VER,Red Bull Racing,2.0,SOFT,2.0,19.5,26.0,91.909,Bahrain,2022
PER,Red Bull Racing,2.0,SOFT,2.0,19.5,26.0,92.383,Bahrain,2022
OCO,Alpine,2.0,SOFT,2.0,19.4,25.9,92.667,Bahrain,2022
MAG,Haas F1 Team,2.0,SOFT,2.0,19.4,25.9,92.286,Bahrain,2022
MSC,Haas F1 Team,2.0,SOFT,2.0,19.4,25.9,92.592,Bahrain,2022
STR,Aston Martin,2.0,SOFT,2.0,19.4,25.9,93.309,Bahrain,2022
BOT,Alfa Romeo,2.0,SOFT,2.0,19.4,25.9,91.919,Bahrain,2022
ALB,Williams,4.0,SOFT,2.0,19.4,25.9,93.076,Bahrain,2022
ALO,Alpine,2.0,SOFT,2.0,19.4,25.9,92.346,Bahrain,2022
ZHO,Alfa Romeo,2.0,SOFT,2.0,19.4,25.9,92.786,Bahrain,2022
RIC,McLaren,4.0,SOFT,4.0,19.4,25.9,93.525,Bahrain,2022
HUL,Aston Martin,2.0,SOFT,2.0,19.4,25.9,93.434,Bahrain,2022
LEC,Ferrari,2.0,SOFT,2.0,19.4,25.9,91.471,Bahrain,2022
NOR,McLaren,4.0,SOFT,4.0,19.5,25.9,93.359,Bahrain,2022
SAI,Ferrari,2.0,SOFT,2.0,19.5,25.9,91.567,Bahrain,2022
LAT,Williams,4.0,SOFT,2.0,19.5,25.9,93.634,Bahrain,2022
VER,Red Bull Racing,4.0,SOFT,4.0,19.5,25.9,91.785,Bahrain,2022
RUS,Mercedes,2.0,SOFT,2.0,19.5,25.9,92.546,Bahrain,2022
HAM,Mercedes,2.0,SOFT,2.0,19.5,25.9,92.285,Bahrain,2022
GAS,AlphaTauri,5.0,SOFT,2.0,19.5,25.8,92.315,Bahrain,2022
RUS,Mercedes,4.0,SOFT,4.0,19.5,25.9,92.269,Bahrain,2022
HAM,Mercedes,4.0,SOFT,4.0,19.5,25.9,92.496,Bahrain,2022
ALB,Williams,7.0,SOFT,2.0,19.5,25.6,92.726,Bahrain,2022
RIC,McLaren,7.0,SOFT,2.0,19.5,25.6,92.945,Bahrain,2022
MAG,Haas F1 Team,5.0,SOFT,2.0,19.5,25.6,91.955,Bahrain,2022
NOR,McLaren,7.0,SOFT,2.0,19.5,25.6,92.239,Bahrain,2022
STR,Aston Martin,5.0,SOFT,2.0,19.5,25.6,93.032,Bahrain,2022
MSC,Haas F1 Team,5.0,SOFT,2.0,19.5,25.6,92.38,Bahrain,2022
TSU,AlphaTauri,7.0,SOFT,2.0,19.5,25.6,92.75,Bahrain,2022
BOT,Alfa Romeo,5.0,SOFT,5.0,19.5,25.6,92.459,Bahrain,2022
ZHO,Alfa Romeo,5.0,SOFT,2.0,19.5,25.6,92.493,Bahrain,2022
HUL,Aston Martin,5.0,SOFT,2.0,19.5,25.6,92.777,Bahrain,2022
LAT,Williams,7.0,SOFT,2.0,19.5,25.6,93.786,Bahrain,2022
GAS,AlphaTauri,8.0,SOFT,2.0,19.5,25.6,92.096,Bahrain,2022
OCO,Alpine,5.0,SOFT,2.0,19.5,25.6,92.041,Bahrain,2022
PER,Red Bull Racing,5.0,SOFT,5.0,19.4,25.5,92.311,Bahrain,2022
MAG,Haas F1 Team,8.0,SOFT,2.0,19.4,25.1,91.461,Bahrain,2022
MSC,Haas F1 Team,8.0,SOFT,2.0,19.4,25.1,91.998,Bahrain,2022
VER,Red Bull Racing,7.0,SOFT,2.0,19.4,25.1,90.757,Bahrain,2022
PER,Red Bull Racing,8.0,SOFT,2.0,19.4,25.1,91.377,Bahrain,2022
BOT,Alfa Romeo,8.0,SOFT,2.0,19.4,25.1,91.817,Bahrain,2022
ZHO,Alfa Romeo,8.0,SOFT,5.0,19.4,25.1,93.543,Bahrain,2022
LEC,Ferrari,5.0,SOFT,5.0,19.4,25.1,91.356,Bahrain,2022
SAI,Ferrari,5.0,SOFT,5.0,19.4,25.1,91.745,Bahrain,2022
OCO,Alpine,8.0,SOFT,2.0,19.4,25.1,91.782,Bahrain,2022
RUS,Mercedes,7.0,SOFT,2.0,19.4,25.1,91.606,Bahrain,2022
HAM,Mercedes,7.0,SOFT,2.0,19.4,25.1,91.496,Bahrain,2022
ALO,Alpine,7.0,SOFT,2.0,19.4,25.1,91.803,Bahrain,2022
GAS,AlphaTauri,11.0,SOFT,5.0,19.4,25.1,92.859,Bahrain,2022
NOR,McLaren,10.0,SOFT,2.0,19.4,25.1,92.473,Bahrain,2022
ALB,Williams,12.0,SOFT,2.0,19.4,25.0,92.664,Bahrain,2022
LEC,Ferrari,8.0,SOFT,2.0,19.4,25.0,90.932,Bahrain,2022
SAI,Ferrari,8.0,SOFT,2.0,19.4,25.0,90.787,Bahrain,2022
BOT,Alfa Romeo,11.0,SOFT,2.0,19.4,25.0,91.717,Bahrain,2022
ZHO,Alfa Romeo,11.0,SOFT,2.0,19.4,25.0,92.387,Bahrain,2022
NOR,McLaren,13.0,SOFT,2.0,19.4,25.0,92.008,Bahrain,2022
OCO,Alpine,11.0,SOFT,2.0,19.3,25.0,91.956,Bahrain,2022
PER,Red Bull Racing,11.0,SOFT,2.0,19.3,25.0,91.008,Bahrain,2022
ALO,Alpine,10.0,SOFT,2.0,19.3,25.0,91.621,Bahrain,2022
RUS,Mercedes,10.0,SOFT,2.0,19.3,25.0,91.252,Bahrain,2022
HAM,Mercedes,10.0,SOFT,2.0,19.3,25.0,91.048,Bahrain,2022
GAS,AlphaTauri,14.0,SOFT,2.0,19.3,25.0,91.635,Bahrain,2022
RUS,Mercedes,13.0,SOFT,5.0,19.3,24.5,92.291,Bahrain,2022
HAM,Mercedes,13.0,SOFT,5.0,19.3,24.5,92.158,Bahrain,2022
LEC,Ferrari,11.0,SOFT,2.0,19.3,24.5,90.731,Bahrain,2022
SAI,Ferrari,11.0,SOFT,2.0,19.3,24.5,90.687,Bahrain,2022
VER,Red Bull Racing,10.0,SOFT,2.0,19.3,24.5,90.743,Bahrain,2022
PER,Red Bull Racing,14.0,SOFT,2.0,19.3,24.5,91.013,Bahrain,2022
GAS,AlphaTauri,17.0,SOFT,5.0,19.3,24.5,93.238,Bahrain,2022
RUS,Mercedes,16.0,SOFT,2.0,19.4,24.3,92.216,Bahrain,2022
HAM,Mercedes,16.0,SOFT,2.0,19.4,24.3,91.238,Bahrain,2022
BOT,Alfa Romeo,14.0,SOFT,2.0,19.4,24.3,91.56,Bahrain,2022
LEC,Ferrari,14.0,SOFT,2.0,19.4,24.3,90.558,Bahrain,2022
SAI,Ferrari,14.0,SOFT,2.0,19.4,24.3,90.739,Bahrain,2022
ALO,Alpine,13.0,SOFT,2.0,19.4,24.2,92.195,Bahrain,2022
MAG,Haas F1 Team,11.0,SOFT,2.0,19.4,24.2,91.808,Bahrain,2022
VER,Red Bull Racing,13.0,SOFT,2.0,19.4,24.2,90.681,Bahrain,2022
PER,Red Bull Racing,17.0,SOFT,2.0,19.4,24.2,90.921,Bahrain,2022
GAS,AlphaTauri,20.0,SOFT,2.0,19.4,24.2,92.338,Bahrain,2022
SAI,Ferrari,12.0,SOFT,2.0,23.2,24.9,73.67,Saudi Arabian,2022
MAG,Haas F1 Team,2.0,SOFT,2.0,23.8,31.3,81.243,Australian,2022
ALB,Williams,2.0,SOFT,2.0,23.8,31.3,81.152,Australian,2022
MSC,Haas F1 Team,2.0,SOFT,2.0,23.8,31.3,81.125,Australian,2022
TSU,AlphaTauri,2.0,SOFT,2.0,23.8,31.3,80.6,Australian,2022
GAS,AlphaTauri,2.0,SOFT,2.0,23.8,31.3,81.31,Australian,2022
LEC,Ferrari,2.0,SOFT,2.0,23.8,31.3,79.391,Australian,2022
ZHO,Alfa Romeo,2.0,SOFT,2.0,23.8,31.3,80.849,Australian,2022
NOR,McLaren,2.0,SOFT,2.0,23.7,31.1,79.764,Australian,2022
SAI,Ferrari,3.0,SOFT,3.0,23.8,31.1,79.179,Australian,2022
VER,Red Bull Racing,2.0,SOFT,2.0,23.8,31.1,79.406,Australian,2022
PER,Red Bull Racing,2.0,SOFT,2.0,23.8,31.1,79.307,Australian,2022
MAG,Haas F1 Team,4.0,SOFT,4.0,23.8,31.1,80.548,Australian,2022
MSC,Haas F1 Team,4.0,SOFT,4.0,23.8,31.1,80.267,Australian,2022
ALB,Williams,4.0,SOFT,4.0,23.8,31.5,80.178,Australian,2022
RIC,McLaren,2.0,SOFT,2.0,23.8,31.5,79.798,Australian,2022
GAS,AlphaTauri,4.0,SOFT,4.0,23.8,31.5,80.087,Australian,2022
LEC,Ferrari,4.0,SOFT,4.0,23.8,31.5,78.881,Australian,2022
ZHO,Alfa Romeo,4.0,SOFT,4.0,23.8,31.5,80.56,Australian,2022
LAT,Williams,4.0,SOFT,4.0,23.8,31.5,81.372,Australian,2022
OCO,Alpine,2.0,SOFT,2.0,23.8,31.5,79.805,Australian,2022
ALO,Alpine,2.0,SOFT,2.0,23.8,31.5,79.653,Australian,2022
BOT,Alfa Romeo,2.0,SOFT,2.0,23.8,31.3,79.641,Australian,2022
VER,Red Bull Racing,4.0,SOFT,4.0,23.8,31.3,78.925,Australian,2022
PER,Red Bull Racing,4.0,SOFT,4.0,23.8,31.3,79.428,Australian,2022
NOR,McLaren,5.0,SOFT,5.0,23.8,31.0,79.28,Australian,2022
SAI,Ferrari,6.0,SOFT,6.0,23.8,31.0,78.983,Australian,2022
OCO,Alpine,4.0,SOFT,4.0,23.8,31.0,79.605,Australian,2022
ALO,Alpine,4.0,SOFT,4.0,23.8,31.0,79.192,Australian,2022
HAM,Mercedes,3.0,SOFT,3.0,23.9,30.8,80.066,Australian,2022
RUS,Mercedes,3.0,SOFT,3.0,23.9,30.8,79.702,Australian,2022
RIC,McLaren,5.0,SOFT,5.0,23.9,30.8,79.665,Australian,2022
BOT,Alfa Romeo,4.0,SOFT,4.0,23.9,30.8,79.251,Australian,2022
VER,Red Bull Racing,6.0,SOFT,6.0,23.9,30.8,78.58,Australian,2022
PER,Red Bull Racing,6.0,SOFT,6.0,23.8,30.7,78.834,Australian,2022
ALB,Williams,7.0,SOFT,2.0,23.8,30.5,80.135,Australian,2022
HAM,Mercedes,5.0,SOFT,5.0,23.8,30.4,79.401,Australian,2022
MAG,Haas F1 Team,7.0,SOFT,2.0,23.8,30.4,80.254,Australian,2022
MSC,Haas F1 Team,7.0,SOFT,2.0,23.8,30.4,80.104,Australian,2022
TSU,AlphaTauri,6.0,SOFT,2.0,23.8,30.4,79.742,Australian,2022
GAS,AlphaTauri,7.0,SOFT,2.0,23.8,30.4,79.775,Australian,2022
RUS,Mercedes,5.0,SOFT,5.0,23.8,30.4,79.405,Australian,2022
ZHO,Alfa Romeo,7.0,SOFT,2.0,23.8,30.4,79.91,Australian,2022
MAG,Haas F1 Team,10.0,SOFT,2.0,23.1,29.1,80.299,Australian,2022
RIC,McLaren,9.0,SOFT,8.0,23.1,29.1,79.931,Australian,2022
ALB,Williams,10.0,SOFT,2.0,23.1,29.1,80.212,Australian,2022
MSC,Haas F1 Team,10.0,SOFT,2.0,23.1,29.1,80.173,Australian,2022
OCO,Alpine,8.0,SOFT,8.0,23.1,29.1,79.845,Australian,2022
GAS,AlphaTauri,10.0,SOFT,7.0,23.1,29.1,79.58,Australian,2022
VET,Aston Martin,2.0,SOFT,2.0,23.1,29.1,81.149,Australian,2022
ZHO,Alfa Romeo,10.0,SOFT,5.0,23.1,29.1,80.184,Australian,2022
VER,Red Bull Racing,9.0,SOFT,2.0,23.0,29.0,78.611,Australian,2022
PER,Red Bull Racing,9.0,SOFT,2.0,23.0,29.0,78.961,Australian,2022
LEC,Ferrari,7.0,SOFT,7.0,23.0,29.0,79.008,Australian,2022
SAI,Ferrari,9.0,SOFT,9.0,23.0,29.0,79.207,Australian,2022
GAS,AlphaTauri,13.0,SOFT,5.0,23.0,29.0,79.226,Australian,2022
OCO,Alpine,11.0,SOFT,2.0,23.0,29.0,79.343,Australian,2022
RIC,McLaren,12.0,SOFT,3.0,23.0,29.0,79.166,Australian,2022
NOR,McLaren,8.0,SOFT,2.0,23.0,29.0,79.067,Australian,2022
ALO,Alpine,8.0,SOFT,2.0,23.0,29.0,78.815,Australian,2022
BOT,Alfa Romeo,7.0,SOFT,2.0,23.0,29.0,79.41,Australian,2022
HAM,Mercedes,11.0,SOFT,3.0,23.2,29.0,79.211,Australian,2022
VER,Red Bull Racing,11.0,SOFT,4.0,23.2,29.1,79.866,Australian,2022
PER,Red Bull Racing,11.0,SOFT,4.0,23.2,29.1,78.34,Australian,2022
RUS,Mercedes,12.0,SOFT,4.0,23.3,29.3,79.076,Australian,2022
OCO,Alpine,13.0,SOFT,4.0,23.3,29.3,79.417,Australian,2022
NOR,McLaren,10.0,SOFT,4.0,23.3,29.3,79.215,Australian,2022
HAM,Mercedes,13.0,SOFT,5.0,23.3,29.4,79.316,Australian,2022
MSC,Haas F1 Team,16.0,SOFT,2.0,23.3,28.4,80.585,Australian,2022
SAI,Ferrari,13.0,SOFT,3.0,23.2,28.2,78.739,Australian,2022
BOT,Alfa Romeo,10.0,SOFT,2.0,23.2,28.2,79.469,Australian,2022
ZHO,Alfa Romeo,13.0,SOFT,2.0,23.2,28.2,80.438,Australian,2022
LEC,Ferrari,11.0,SOFT,3.0,23.2,28.2,78.606,Australian,2022
RUS,Mercedes,16.0,SOFT,3.0,23.1,28.1,82.378,Australian,2022
MSC,Haas F1 Team,18.0,SOFT,4.0,23.0,28.2,80.465,Australian,2022
BOT,Alfa Romeo,12.0,SOFT,4.0,23.0,28.2,79.914,Australian,2022
OCO,Alpine,16.0,SOFT,2.0,23.0,28.2,79.136,Australian,2022
VER,Red Bull Racing,14.0,SOFT,7.0,23.0,28.2,78.762,Australian,2022
GAS,AlphaTauri,18.0,SOFT,4.0,23.0,28.4,79.794,Australian,2022
ALO,Alpine,12.0,SOFT,6.0,23.0,28.4,79.741,Australian,2022
SAI,Ferrari,15.0,SOFT,5.0,23.0,28.4,78.469,Australian,2022
RIC,McLaren,15.0,SOFT,4.0,23.0,28.4,79.13,Australian,2022
NOR,McLaren,13.0,SOFT,2.0,23.0,28.4,79.066,Australian,2022
ZHO,Alfa Romeo,15.0,SOFT,4.0,23.0,28.4,80.155,Australian,2022
TSU,AlphaTauri,16.0,SOFT,4.0,23.0,28.4,79.424,Australian,2022
HAM,Mercedes,17.0,SOFT,3.0,23.0,28.4,79.106,Australian,2022
VER,Red Bull Racing,17.0,SOFT,2.0,22.9,27.3,78.399,Australian,2022
PER,Red Bull Racing,14.0,SOFT,2.0,22.9,27.3,78.398,Australian,2022
OCO,Alpine,19.0,SOFT,5.0,22.9,26.9,79.087,Australian,2022
RIC,McLaren,18.0,SOFT,5.0,22.9,26.9,79.032,Australian,2022
NOR,McLaren,16.0,SOFT,5.0,22.9,26.9,79.092,Australian,2022
HAM,Mercedes,21.0,SOFT,7.0,22.8,27.1,79.294,Australian,2022
LEC,Ferrari,16.0,SOFT,3.0,22.8,27.1,78.239,Australian,2022
PER,Red Bull Racing,18.0,SOFT,2.0,22.5,26.8,78.24,Australian,2022
HAM,Mercedes,25.0,SOFT,3.0,22.5,26.9,79.046,Australian,2022
RUS,Mercedes,23.0,SOFT,3.0,22.5,26.9,79.004,Australian,2022
VER,Red Bull Racing,20.0,SOFT,2.0,22.5,26.9,78.154,Australian,2022
SAI,Ferrari,21.0,SOFT,2.0,22.5,26.9,79.408,Australian,2022
PER,Red Bull Racing,20.0,SOFT,4.0,22.5,26.9,78.323,Australian,2022
NOR,McLaren,19.0,SOFT,2.0,22.5,26.9,78.703,Australian,2022
LEC,Ferrari,20.0,SOFT,3.0,22.5,26.9,77.868,Australian,2022
RIC,McLaren,21.0,SOFT,2.0,22.5,26.9,79.942,Australian,2022
OCO,Alpine,22.0,SOFT,2.0,22.5,26.9,79.061,Australian,2022
RUS,Mercedes,25.0,SOFT,5.0,22.5,26.9,78.933,Australian,2022
HAM,Mercedes,27.0,SOFT,5.0,22.5,26.9,78.825,Australian,2022
MAG,Haas F1 Team,2.0,SOFT,2.0,33.3,53.7,93.148,Miami,2022
ALB,Williams,2.0,SOFT,2.0,33.4,53.7,92.495,Miami,2022
VET,Aston Martin,2.0,SOFT,2.0,33.4,53.7,92.212,Miami,2022
TSU,AlphaTauri,2.0,SOFT,2.0,33.4,53.7,91.944,Miami,2022
GAS,AlphaTauri,2.0,SOFT,2.0,33.4,53.7,93.831,Miami,2022
STR,Aston Martin,2.0,SOFT,2.0,33.4,53.7,91.789,Miami,2022
LAT,Williams,2.0,SOFT,2.0,33.4,53.7,92.824,Miami,2022
SAI,Ferrari,2.0,SOFT,2.0,33.4,53.7,90.858,Miami,2022
NOR,McLaren,2.0,SOFT,2.0,33.4,53.7,91.484,Miami,2022
LEC,Ferrari,2.0,SOFT,2.0,33.5,53.2,91.349,Miami,2022
RIC,McLaren,2.0,SOFT,2.0,33.5,53.2,91.275,Miami,2022
VER,Red Bull Racing,2.0,SOFT,2.0,33.4,50.9,90.235,Miami,2022
PER,Red Bull Racing,2.0,SOFT,2.0,33.4,50.9,90.778,Miami,2022
RUS,Mercedes,2.0,SOFT,2.0,33.4,50.9,90.807,Miami,2022
MAG,Haas F1 Team,4.0,SOFT,4.0,33.3,50.3,91.559,Miami,2022
MSC,Haas F1 Team,4.0,SOFT,4.0,33.3,50.3,91.433,Miami,2022
ALB,Williams,4.0,SOFT,4.0,33.3,50.3,92.092,Miami,2022
TSU,AlphaTauri,4.0,SOFT,4.0,33.3,50.3,91.533,Miami,2022
GAS,AlphaTauri,4.0,SOFT,4.0,33.3,50.3,92.049,Miami,2022
LAT,Williams,4.0,SOFT,4.0,33.3,49.6,92.085,Miami,2022
HAM,Mercedes,3.0,SOFT,3.0,33.3,49.6,91.55,Miami,2022
ALO,Alpine,2.0,SOFT,2.0,33.3,49.6,91.365,Miami,2022
ZHO,Alfa Romeo,4.0,SOFT,4.0,33.3,49.6,91.02,Miami,2022
MAG,Haas F1 Team,6.0,SOFT,6.0,33.1,49.1,91.317,Miami,2022
NOR,McLaren,5.0,SOFT,5.0,33.1,49.1,90.761,Miami,2022
RIC,McLaren,5.0,SOFT,5.0,33.1,49.1,90.583,Miami,2022
VET,Aston Martin,5.0,SOFT,5.0,33.1,49.1,90.868,Miami,2022
SAI,Ferrari,5.0,SOFT,5.0,33.1,49.1,90.079,Miami,2022
MSC,Haas F1 Team,6.0,SOFT,6.0,33.3,50.4,91.074,Miami,2022
LEC,Ferrari,5.0,SOFT,5.0,33.3,50.4,89.474,Miami,2022
STR,Aston Martin,5.0,SOFT,5.0,33.3,50.4,90.717,Miami,2022
VER,Red Bull Racing,5.0,SOFT,5.0,33.3,50.4,89.836,Miami,2022
BOT,Alfa Romeo,2.0,SOFT,2.0,33.3,50.4,90.845,Miami,2022
PER,Red Bull Racing,5.0,SOFT,5.0,33.3,50.4,90.246,Miami,2022
ALO,Alpine,4.0,SOFT,4.0,33.5,51.8,91.008,Miami,2022
RUS,Mercedes,5.0,SOFT,5.0,33.5,51.8,90.882,Miami,2022
BOT,Alfa Romeo,4.0,SOFT,4.0,33.7,51.9,90.939,Miami,2022
ALB,Williams,7.0,SOFT,2.0,33.5,50.8,91.266,Miami,2022
GAS,AlphaTauri,7.0,SOFT,2.0,33.5,50.8,90.779,Miami,2022
TSU,AlphaTauri,7.0,SOFT,2.0,33.5,50.8,90.485,Miami,2022
RUS,Mercedes,7.0,SOFT,7.0,33.5,50.8,90.49,Miami,2022
MAG,Haas F1 Team,9.0,SOFT,9.0,33.5,50.8,90.975,Miami,2022
LAT,Williams,7.0,SOFT,2.0,33.5,50.8,91.647,Miami,2022
MSC,Haas F1 Team,9.0,SOFT,2.0,33.5,50.8,90.645,Miami,2022
HAM,Mercedes,8.0,SOFT,2.0,33.5,51.0,90.388,Miami,2022
ALB,Williams,9.0,SOFT,4.0,33.5,52.3,91.392,Miami,2022
GAS,AlphaTauri,9.0,SOFT,4.0,33.5,52.3,91.102,Miami,2022
NOR,McLaren,8.0,SOFT,2.0,33.5,52.3,90.85,Miami,2022
STR,Aston Martin,8.0,SOFT,2.0,33.3,51.1,90.441,Miami,2022
SAI,Ferrari,9.0,SOFT,9.0,33.3,51.1,90.452,Miami,2022
ALO,Alpine,7.0,SOFT,2.0,33.3,51.1,90.407,Miami,2022
VET,Aston Martin,8.0,SOFT,2.0,33.3,51.1,90.677,Miami,2022
LAT,Williams,9.0,SOFT,4.0,33.3,51.1,91.325,Miami,2022
PER,Red Bull Racing,8.0,SOFT,8.0,33.3,51.1,90.055,Miami,2022
MSC,Haas F1 Team,13.0,SOFT,6.0,32.8,50.4,90.423,Miami,2022
LEC,Ferrari,11.0,SOFT,11.0,32.9,50.4,89.754,Miami,2022
SAI,Ferrari,12.0,SOFT,12.0,32.9,50.4,89.729,Miami,2022
BOT,Alfa Romeo,8.0,SOFT,2.0,32.9,50.4,90.605,Miami,2022
VER,Red Bull Racing,10.0,SOFT,2.0,32.9,50.4,89.202,Miami,2022
PER,Red Bull Racing,11.0,SOFT,2.0,32.9,50.4,89.673,Miami,2022
NOR,McLaren,11.0,SOFT,2.0,32.8,50.4,90.289,Miami,2022
HAM,Mercedes,11.0,SOFT,5.0,32.8,50.4,89.797,Miami,2022
RIC,McLaren,10.0,SOFT,2.0,32.9,51.1,91.129,Miami,2022
TSU,AlphaTauri,11.0,SOFT,2.0,32.9,51.1,90.28,Miami,2022
GAS,AlphaTauri,12.0,SOFT,2.0,32.9,51.1,90.128,Miami,2022
STR,Aston Martin,11.0,SOFT,5.0,33.1,51.3,90.363,Miami,2022
VET,Aston Martin,11.0,SOFT,5.0,33.1,51.3,90.61,Miami,2022
ALO,Alpine,10.0,SOFT,5.0,33.1,51.3,90.262,Miami,2022
BOT,Alfa Romeo,10.0,SOFT,4.0,33.1,51.3,90.237,Miami,2022
LEC,Ferrari,14.0,SOFT,2.0,33.3,51.1,89.13,Miami,2022
SAI,Ferrari,15.0,SOFT,2.0,33.3,51.1,90.197,Miami,2022
RUS,Mercedes,13.0,SOFT,3.0,33.3,51.1,90.173,Miami,2022
MSC,Haas F1 Team,16.0,SOFT,2.0,33.2,50.8,90.68,Miami,2022
HAM,Mercedes,14.0,SOFT,2.0,33.0,50.4,89.993,Miami,2022
LEC,Ferrari,17.0,SOFT,2.0,32.9,50.2,89.42,Miami,2022
VET,Aston Martin,14.0,SOFT,2.0,32.9,50.2,90.214,Miami,2022
PER,Red Bull Racing,14.0,SOFT,5.0,32.9,50.2,91.165,Miami,2022
STR,Aston Martin,14.0,SOFT,2.0,32.9,50.2,89.996,Miami,2022
BOT,Alfa Romeo,13.0,SOFT,2.0,32.9,50.2,89.751,Miami,2022
MSC,Haas F1 Team,18.0,SOFT,4.0,32.9,50.2,90.781,Miami,2022
NOR,McLaren,15.0,SOFT,2.0,33.1,50.3,89.634,Miami,2022
TSU,AlphaTauri,14.0,SOFT,2.0,33.1,50.3,90.031,Miami,2022
ALO,Alpine,13.0,SOFT,2.0,33.1,50.3,90.16,Miami,2022
GAS,AlphaTauri,15.0,SOFT,2.0,33.1,50.3,90.316,Miami,2022
RIC,McLaren,14.0,SOFT,2.0,33.1,50.3,90.31,Miami,2022
LEC,Ferrari,20.0,SOFT,2.0,32.9,49.9,89.055,Miami,2022
SAI,Ferrari,21.0,SOFT,2.0,32.9,49.9,89.071,Miami,2022
BOT,Alfa Romeo,16.0,SOFT,7.0,32.9,49.9,89.932,Miami,2022
STR,Aston Martin,17.0,SOFT,5.0,32.9,49.9,90.823,Miami,2022
NOR,McLaren,18.0,SOFT,5.0,32.9,49.9,90.54,Miami,2022
VER,Red Bull Racing,13.0,SOFT,2.0,32.9,49.9,88.991,Miami,2022
PER,Red Bull Racing,17.0,SOFT,2.0,32.9,49.9,89.498,Miami,2022
HAM,Mercedes,17.0,SOFT,5.0,32.9,49.9,90.159,Miami,2022
TSU,AlphaTauri,17.0,SOFT,7.0,32.9,49.9,90.598,Miami,2022
GAS,AlphaTauri,18.0,SOFT,7.0,32.9,49.9,90.987,Miami,2022
STR,Aston Martin,20.0,SOFT,2.0,32.8,49.4,90.676,Miami,2022
LEC,Ferrari,23.0,SOFT,2.0,32.6,49.4,88.796,Miami,2022
SAI,Ferrari,24.0,SOFT,2.0,32.6,49.4,88.986,Miami,2022
HAM,Mercedes,20.0,SOFT,2.0,32.6,49.4,89.625,Miami,2022
BOT,Alfa Romeo,19.0,SOFT,2.0,32.6,49.4,89.475,Miami,2022
NOR,McLaren,21.0,SOFT,2.0,32.6,49.4,89.75,Miami,2022
PER,Red Bull Racing,20.0,SOFT,2.0,32.6,49.4,89.036,Miami,2022
GAS,AlphaTauri,21.0,SOFT,2.0,32.6,49.4,89.69,Miami,2022
TSU,AlphaTauri,20.0,SOFT,2.0,32.6,49.4,89.932,Miami,2022
STR,Aston Martin,2.0,SOFT,2.0,12.6,14.8,83.419,Emilia Romagna,2022
OCO,Alpine,5.0,SOFT,5.0,12.5,14.7,83.24,Emilia Romagna,2022
VET,Aston Martin,6.0,SOFT,2.0,12.5,14.7,83.095,Emilia Romagna,2022
LEC,Ferrari,3.0,SOFT,3.0,12.5,14.7,83.672,Emilia Romagna,2022
STR,Aston Martin,5.0,SOFT,2.0,12.5,14.7,82.556,Emilia Romagna,2022
BOT,Alfa Romeo,6.0,SOFT,6.0,12.5,14.7,82.838,Emilia Romagna,2022
MAG,Haas F1 Team,5.0,SOFT,2.0,12.5,14.7,84.093,Emilia Romagna,2022
ALO,Alpine,5.0,SOFT,2.0,12.5,14.7,81.363,Emilia Romagna,2022
HAM,Mercedes,5.0,SOFT,2.0,12.5,14.7,83.184,Emilia Romagna,2022
RUS,Mercedes,6.0,SOFT,2.0,12.5,14.7,82.732,Emilia Romagna,2022
RIC,McLaren,5.0,SOFT,2.0,12.5,14.7,82.336,Emilia Romagna,2022
PER,Red Bull Racing,5.0,SOFT,2.0,12.5,14.7,83.07,Emilia Romagna,2022
OCO,Alpine,6.0,SOFT,6.0,12.5,14.7,82.338,Emilia Romagna,2022
VER,Red Bull Racing,5.0,SOFT,2.0,12.5,14.7,81.487,Emilia Romagna,2022
NOR,McLaren,5.0,SOFT,2.0,12.6,14.7,81.232,Emilia Romagna,2022
ZHO,Alfa Romeo,7.0,SOFT,3.0,12.6,14.7,82.225,Emilia Romagna,2022
SAI,Ferrari,5.0,SOFT,5.0,12.6,14.7,80.319,Emilia Romagna,2022
LEC,Ferrari,4.0,SOFT,4.0,12.6,14.7,80.59,Emilia Romagna,2022
GAS,AlphaTauri,6.0,SOFT,3.0,12.6,14.7,82.559,Emilia Romagna,2022
TSU,AlphaTauri,6.0,SOFT,3.0,12.6,14.7,82.136,Emilia Romagna,2022
BOT,Alfa Romeo,7.0,SOFT,7.0,12.6,14.7,81.858,Emilia Romagna,2022
MAG,Haas F1 Team,6.0,SOFT,3.0,12.6,14.7,82.41,Emilia Romagna,2022
MSC,Haas F1 Team,7.0,SOFT,3.0,12.7,14.8,82.52,Emilia Romagna,2022
VER,Red Bull Racing,6.0,SOFT,3.0,12.7,14.8,80.349,Emilia Romagna,2022
VET,Aston Martin,8.0,SOFT,4.0,12.7,14.8,81.705,Emilia Romagna,2022
STR,Aston Martin,7.0,SOFT,4.0,12.7,14.8,81.287,Emilia Romagna,2022
